window_idx,start_time,end_time,duration
0,0.0,2.0,2.0
1,1.4,3.4,2.0
2,2.8,4.8,2.0
3,4.2,6.2,2.0
4,5.6,7.6,2.0
5,7.0,9.0,2.0
6,8.4,10.4,2.0
7,9.8,11.8,2.0
8,11.2,13.2,2.0
9,12.6,14.6,2.0
10,14.0,16.0,2.0
11,15.4,17.4,1.9999999999999982
12,16.8,18.8,2.0
13,18.2,20.2,2.0
14,19.6,21.6,2.0
15,21.0,23.0,2.0
16,22.4,24.4,2.0
17,23.8,25.8,2.0
18,25.2,27.2,2.0
19,26.6,28.6,2.0
20,28.0,30.0,2.0
21,29.4,31.4,2.0
22,30.8,32.8,1.9999999999999964
23,32.2,34.2,2.0
24,33.6,35.6,2.0
25,35.0,37.0,2.0
26,36.4,38.4,2.0
27,37.8,39.8,2.0
28,39.2,41.2,2.0
29,40.6,42.6,2.0
30,42.0,44.0,2.0
31,43.4,45.4,2.0
32,44.8,46.8,2.0
33,46.2,48.2,2.0
34,47.6,49.6,2.0
35,49.0,51.0,2.0
36,50.4,52.4,2.0
37,51.8,53.8,2.0
38,53.2,55.2,2.0
39,54.6,56.6,2.0
40,56.0,58.0,2.0
41,57.4,59.4,2.0
42,58.8,60.8,2.0
43,60.2,62.2,2.0
44,61.6,63.6,2.0
45,63.0,65.0,2.0
46,64.4,66.4,2.0
47,65.8,67.8,2.0
48,67.2,69.2,2.0
49,68.6,70.6,2.0
50,70.0,72.0,2.0
51,71.4,73.4,2.0
52,72.8,74.8,2.0
53,74.2,76.2,2.0
54,75.6,77.6,2.0
55,77.0,79.0,2.0
56,78.4,80.4,2.0
57,79.8,81.8,2.0
58,81.2,83.2,2.0
59,82.6,84.6,2.0
60,84.0,86.0,2.0
61,85.4,87.4,2.0
62,86.8,88.8,2.0
63,88.2,90.2,2.0
64,89.6,91.6,2.0
65,91.0,93.0,2.0
66,92.4,94.4,2.0
67,93.8,95.8,2.0
68,95.2,97.2,2.0
69,96.6,98.6,2.0
70,98.0,100.0,2.0
71,99.4,101.4,2.0
72,100.8,102.8,2.0
73,102.2,104.2,2.0
74,103.6,105.6,2.0
75,105.0,107.0,2.0
76,106.4,108.4,2.0
77,107.8,109.8,2.0
78,109.2,111.2,2.0
79,110.6,112.6,2.0
80,112.0,114.0,2.0
81,113.4,115.4,2.0
82,114.8,116.8,2.0
83,116.2,118.2,2.0
84,117.6,119.6,2.0
85,119.0,121.0,2.0
86,120.4,122.4,2.0
87,121.8,123.8,2.0
88,123.2,125.2,2.0
89,124.6,126.6,2.0
90,126.0,128.0,2.0
91,127.4,129.4,2.0
92,128.8,130.8,2.0
93,130.2,132.2,2.0
94,131.6,133.6,2.0
95,133.0,135.0,2.0
96,134.4,136.4,2.0
97,135.8,137.8,2.0
98,137.2,139.2,2.0
99,138.6,140.6,2.0
100,140.0,142.0,2.0
101,141.4,143.4,2.0
102,142.8,144.8,2.0
103,144.2,146.2,2.0
104,145.6,147.6,2.0
105,147.0,149.0,2.0
106,148.4,150.4,2.0
107,149.8,151.8,2.0
108,151.2,153.2,2.0
109,152.6,154.6,2.0
110,154.0,156.0,2.0
111,155.4,157.4,2.0
112,156.8,158.8,2.0
113,158.2,160.2,2.0
114,159.6,161.6,2.0
115,161.0,163.0,2.0
116,162.4,164.4,2.0
117,163.8,165.8,2.0
118,165.2,167.2,2.0
119,166.6,168.6,2.0
120,168.0,170.0,2.0
121,169.4,171.4,2.0
122,170.8,172.8,2.0
123,172.2,174.2,2.0
124,173.6,175.6,2.0
125,175.0,177.0,2.0
126,176.4,178.4,2.0
127,177.8,179.8,2.0
128,179.2,181.2,2.0
129,180.6,182.6,2.0
130,182.0,184.0,2.0
131,183.4,185.4,2.0
132,184.8,186.8,2.0
133,186.2,188.2,2.0
134,187.6,189.6,2.0
135,189.0,191.0,2.0
136,190.4,192.4,2.0
137,191.8,193.8,2.0
138,193.2,195.2,2.0
139,194.6,196.6,2.0
140,196.0,198.0,2.0
141,197.4,199.4,2.0
142,198.8,200.8,2.0
143,200.2,202.2,2.0
144,201.6,203.6,2.0
145,203.0,205.0,2.0
